fila_id,venta_id,cliente_id,producto_id,fecha_compra,año,mes_texto,origen,cantidad,precio_unitario,monto
F-0019,FT-934206,CL-138,PRD-FD040,27/12/2024,2024,diciembre,Simulada,2,42550,85100
F-0020,FT-934206,CL-243,PRD-FD025,27/12/2024,2024,diciembre,Simulada,3,39950,119850
F-0021,FT-934206,CL-040,PRD-FD030,27/12/2024,2024,diciembre,Simulada,2,7950,15900
F-0022,FT-934207,CL-270,PRD-FD010,27/12/2024,2024,diciembre,Simulada,2,11950,23900
F-0023,FT-934207,CL-090,PRD-FD018,27/12/2024,2024,diciembre,Simulada,1,5520,5520
F-0024,FT-934207,CL-016,PRD-FD006,27/12/2024,2024,diciembre,Simulada,4,9600,38400
F-0025,FT-934208,CL-102,PRD-FD005,27/12/2024,2024,diciembre,Simulada,2,25950,51900
F-0026,FT-934208,CL-069,PRD-FD036,27/12/2024,2024,diciembre,Simulada,3,11300,33900
F-0027,FT-934208,CL-108,PRD-FD011,26/12/2024,2024,diciembre,Simulada,4,27300,109200
F-0028,FT-934208,CL-072,PRD-FD001,26/12/2024,2024,diciembre,Simulada,3,16950,50850
F-0029,FT-934208,CL-152,PRD-FD027,26/12/2024,2024,diciembre,Simulada,1,21950,21950
F-0030,FT-934209,CL-072,PRD-FD034,26/12/2024,2024,diciembre,Simulada,4,85950,343800
F-0031,FT-934210,CL-150,PRD-FD019,26/12/2024,2024,diciembre,Simulada,3,11300,33900
F-0032,FT-934211,CL-224,PRD-FD012,26/12/2024,2024,diciembre,Simulada,2,150950,301900
F-0033,FT-934211,CL-211,PRD-FD005,26/12/2024,2024,diciembre,Simulada,3,17950,53850
F-0034,FT-934211,CL-260,PRD-FD001,26/12/2024,2024,diciembre,Simulada,4,48950,195800
F-0035,FT-934211,CL-046,PRD-FD005,26/12/2024,2024,diciembre,Simulada,2,48950,97900
F-0036,FT-934212,CL-029,PRD-FD012,26/12/2024,2024,diciembre,Simulada,2,42550,85100
F-0037,FT-934212,CL-069,PRD-FD001,26/12/2024,2024,diciembre,Simulada,2,21450,42900
F-0038,FT-934212,CL-294,PRD-FD009,26/12/2024,2024,diciembre,Simulada,4,65950,263800
F-0039,FT-934213,CL-269,PRD-FD040,26/12/2024,2024,diciembre,Simulada,2,10900,21800
F-0040,FT-934213,CL-013,PRD-FD004,26/12/2024,2024,diciembre,Simulada,2,16500,33000
F-0041,FT-934213,CL-082,PRD-FD028,25/12/2024,2024,diciembre,Simulada,1,103950,103950
F-0042,FT-934214,CL-105,PRD-FD039,25/12/2024,2024,diciembre,Simulada,4,8750,35000
F-0043,FT-934215,CL-045,PRD-FD037,25/12/2024,2024,diciembre,Simulada,2,25950,51900
F-0044,FT-934215,CL-182,PRD-FD010,25/12/2024,2024,diciembre,Simulada,2,31408,62816
F-0045,FT-934216,CL-125,PRD-FD019,25/12/2024,2024,diciembre,Simulada,2,39950,79900
F-0046,FT-934216,CL-242,PRD-FD018,25/12/2024,2024,diciembre,Simulada,2,68950,137900
F-0047,FT-934216,CL-138,PRD-FD017,25/12/2024,2024,diciembre,Simulada,1,87950,87950
F-0048,FT-934216,CL-198,PRD-FD025,25/12/2024,2024,diciembre,Simulada,2,65950,131900
F-0049,FT-934217,CL-158,PRD-FD017,25/12/2024,2024,diciembre,Simulada,3,25950,77850
F-0050,FT-934217,CL-032,PRD-FD022,25/12/2024,2024,diciembre,Simulada,1,26600,26600
F-0051,FT-934217,CL-001,PRD-FD022,25/12/2024,2024,diciembre,Simulada,2,150950,301900
F-0052,FT-934217,CL-204,PRD-FD016,25/12/2024,2024,diciembre,Simulada,3,17950,53850
F-0053,FT-934218,CL-283,PRD-FD040,25/12/2024,2024,diciembre,Simulada,3,21950,65850
F-0054,FT-934218,CL-299,PRD-FD031,24/12/2024,2024,diciembre,Simulada,2,68450,136900
F-0055,FT-934218,CL-011,PRD-FD011,24/12/2024,2024,diciembre,Simulada,3,26600,79800
F-0056,FT-934218,CL-148,PRD-FD034,24/12/2024,2024,diciembre,Simulada,2,7950,15900
F-0057,FT-934219,CL-152,PRD-FD012,24/12/2024,2024,diciembre,Simulada,3,20950,62850
F-0058,FT-934219,CL-032,PRD-FD025,24/12/2024,2024,diciembre,Simulada,2,68450,136900
F-0059,FT-934219,CL-056,PRD-FD038,24/12/2024,2024,diciembre,Simulada,3,10900,32700
F-0060,FT-934219,CL-256,PRD-FD013,24/12/2024,2024,diciembre,Simulada,1,26500,26500
F-0061,FT-934219,CL-201,PRD-FD022,24/12/2024,2024,diciembre,Simulada,3,20950,62850
F-0062,FT-934220,CL-232,PRD-FD006,24/12/2024,2024,diciembre,Simulada,4,16500,66000
F-0063,FT-934220,CL-096,PRD-FD020,24/12/2024,2024,diciembre,Simulada,1,17950,17950
F-0064,FT-934220,CL-128,PRD-FD011,24/12/2024,2024,diciembre,Simulada,2,18400,36800
F-0065,FT-934220,CL-053,PRD-FD002,24/12/2024,2024,diciembre,Simulada,4,87950,351800
F-0066,FT-934221,CL-001,PRD-FD015,24/12/2024,2024,diciembre,Simulada,3,103950,311850
F-0067,FT-934221,CL-051,PRD-FD018,24/12/2024,2024,diciembre,Simulada,4,7950,31800
F-0068,FT-934222,CL-292,PRD-FD024,24/12/2024,2024,diciembre,Simulada,2,9600,19200
F-0069,FT-934222,CL-255,PRD-FD039,23/12/2024,2024,diciembre,Simulada,1,10900,10900
F-0070,FT-934222,CL-190,PRD-FD038,23/12/2024,2024,diciembre,Simulada,1,21450,21450
F-0071,FT-934222,CL-044,PRD-FD033,23/12/2024,2024,diciembre,Simulada,1,25950,25950
F-0072,FT-934222,CL-131,PRD-FD006,23/12/2024,2024,diciembre,Simulada,3,65950,197850
F-0073,FT-934223,CL-037,PRD-FD015,23/12/2024,2024,diciembre,Simulada,3,39950,119850
F-0074,FT-934224,CL-253,PRD-FD002,23/12/2024,2024,diciembre,Simulada,3,20950,62850
F-0075,FT-934225,CL-094,PRD-FD007,23/12/2024,2024,diciembre,Simulada,3,127950,383850
F-0076,FT-934225,CL-028,PRD-FD028,23/12/2024,2024,diciembre,Simulada,2,11950,23900
F-0077,FT-934225,CL-163,PRD-FD026,23/12/2024,2024,diciembre,Simulada,4,85950,343800
F-0078,FT-934225,CL-012,PRD-FD001,23/12/2024,2024,diciembre,Simulada,3,7950,23850
F-0079,FT-934225,CL-049,PRD-FD012,23/12/2024,2024,diciembre,Simulada,1,169950,169950
F-0080,FT-934226,CL-229,PRD-FD025,22/12/2024,2024,diciembre,Simulada,1,85950,85950
F-0081,FT-934226,CL-233,PRD-FD040,22/12/2024,2024,diciembre,Simulada,4,65950,263800
F-0082,FT-934227,CL-198,PRD-FD031,22/12/2024,2024,diciembre,Simulada,3,25950,77850
F-0083,FT-934227,CL-049,PRD-FD012,22/12/2024,2024,diciembre,Simulada,2,25950,51900
F-0084,FT-934227,CL-083,PRD-FD019,22/12/2024,2024,diciembre,Simulada,2,26600,53200
F-0085,FT-934228,CL-235,PRD-FD028,22/12/2024,2024,diciembre,Simulada,4,42550,170200
F-0086,FT-934228,CL-265,PRD-FD014,22/12/2024,2024,diciembre,Simulada,1,5520,5520
F-0087,FT-934229,CL-244,PRD-FD032,22/12/2024,2024,diciembre,Simulada,2,81050,162100
F-0088,FT-934229,CL-201,PRD-FD008,22/12/2024,2024,diciembre,Simulada,1,5520,5520
F-0089,FT-934230,CL-217,PRD-FD032,22/12/2024,2024,diciembre,Simulada,4,25950,103800
F-0090,FT-934230,CL-146,PRD-FD020,22/12/2024,2024,diciembre,Simulada,1,27300,27300
F-0091,FT-934230,CL-243,PRD-FD019,22/12/2024,2024,diciembre,Simulada,3,65950,197850
F-0092,FT-934230,CL-123,PRD-FD013,22/12/2024,2024,diciembre,Simulada,3,48950,146850
F-0093,FT-934230,CL-256,PRD-FD023,22/12/2024,2024,diciembre,Simulada,3,65950,197850
F-0094,FT-934231,CL-224,PRD-FD015,22/12/2024,2024,diciembre,Simulada,1,79350,79350
F-0095,FT-934231,CL-062,PRD-FD017,22/12/2024,2024,diciembre,Simulada,4,39950,159800
F-0096,FT-934232,CL-089,PRD-FD036,21/12/2024,2024,diciembre,Simulada,2,7950,15900
F-0097,FT-934232,CL-228,PRD-FD015,21/12/2024,2024,diciembre,Simulada,2,31408,62816
F-0098,FT-934232,CL-268,PRD-FD036,21/12/2024,2024,diciembre,Simulada,1,79350,79350
F-0099,FT-934233,CL-206,PRD-FD020,21/12/2024,2024,diciembre,Simulada,2,8750,17500
F-0100,FT-934233,CL-152,PRD-FD035,21/12/2024,2024,diciembre,Simulada,1,27300,27300
F-0101,FT-934233,CL-163,PRD-FD020,21/12/2024,2024,diciembre,Simulada,4,87950,351800
F-0102,FT-934233,CL-018,PRD-FD029,21/12/2024,2024,diciembre,Simulada,2,79350,158700
F-0103,FT-934233,CL-074,PRD-FD032,21/12/2024,2024,diciembre,Simulada,1,18400,18400
F-0104,FT-934234,CL-143,PRD-FD010,21/12/2024,2024,diciembre,Simulada,2,26600,53200
F-0105,FT-934234,CL-245,PRD-FD020,21/12/2024,2024,diciembre,Simulada,4,11950,47800
F-0106,FT-934235,CL-227,PRD-FD037,21/12/2024,2024,diciembre,Simulada,1,7950,7950
F-0107,FT-934235,CL-283,PRD-FD040,21/12/2024,2024,diciembre,Simulada,4,68450,273800
F-0108,FT-934235,CL-113,PRD-FD025,21/12/2024,2024,diciembre,Simulada,1,62950,62950
F-0109,FT-934236,CL-228,PRD-FD036,20/12/2024,2024,diciembre,Simulada,2,21450,42900
F-0110,FT-934236,CL-098,PRD-FD014,19/12/2024,2024,diciembre,Simulada,2,42550,85100
F-0111,FT-934236,CL-018,PRD-FD014,19/12/2024,2024,diciembre,Simulada,3,21450,64350
F-0112,FT-934236,CL-222,PRD-FD001,17/12/2024,2024,diciembre,Realista,2,68450,136900
F-0113,FT-934237,CL-268,PRD-FD005,17/12/2024,2024,diciembre,Realista,2,7950,15900
F-0114,FT-934237,CL-220,PRD-FD019,17/12/2024,2024,diciembre,Realista,2,11300,22600
F-0115,FT-934238,CL-003,PRD-FD028,17/12/2024,2024,diciembre,Realista,4,18400,73600
F-0116,FT-934238,CL-137,PRD-FD008,16/12/2024,2024,diciembre,Realista,4,62950,251800
F-0117,FT-934238,CL-153,PRD-FD003,16/12/2024,2024,diciembre,Realista,2,124080,248160
F-0118,FT-934238,CL-165,PRD-FD008,15/12/2024,2024,diciembre,Realista,2,62950,125900
F-0119,FT-934238,CL-054,PRD-FD027,15/12/2024,2024,diciembre,Realista,1,5520,5520
F-0120,FT-934239,CL-234,PRD-FD001,15/12/2024,2024,diciembre,Realista,3,39950,119850
F-0121,FT-934239,CL-065,PRD-FD013,14/12/2024,2024,diciembre,Realista,3,10900,32700
F-0122,FT-934239,CL-180,PRD-FD019,14/12/2024,2024,diciembre,Realista,2,26500,53000
F-0123,FT-934239,CL-146,PRD-FD013,13/12/2024,2024,diciembre,Realista,3,9600,28800
F-0124,FT-934239,CL-236,PRD-FD013,13/12/2024,2024,diciembre,Realista,2,25950,51900
F-0125,FT-934240,CL-049,PRD-FD021,12/12/2024,2024,diciembre,Realista,4,39950,159800
F-0126,FT-934240,CL-206,PRD-FD014,12/12/2024,2024,diciembre,Realista,2,68950,137900
F-0127,FT-934241,CL-099,PRD-FD002,10/12/2024,2024,diciembre,Simulada,4,62950,251800
F-0128,FT-934241,CL-284,PRD-FD018,10/12/2024,2024,diciembre,Simulada,4,26500,106000
F-0129,FT-934242,CL-043,PRD-FD032,10/12/2024,2024,diciembre,Simulada,1,48950,48950
F-0130,FT-934242,CL-267,PRD-FD019,10/12/2024,2024,diciembre,Simulada,3,9600,28800
F-0131,FT-934242,CL-268,PRD-FD001,09/12/2024,2024,diciembre,Simulada,1,21950,21950
F-0132,FT-934242,CL-086,PRD-FD007,09/12/2024,2024,diciembre,Simulada,3,26600,79800
F-0133,FT-934243,CL-088,PRD-FD004,08/12/2024,2024,diciembre,Simulada,2,21950,43900
F-0134,FT-934243,CL-082,PRD-FD035,07/12/2024,2024,diciembre,Simulada,1,81050,81050
F-0135,FT-934244,CL-162,PRD-FD011,07/12/2024,2024,diciembre,Simulada,3,21950,65850
F-0136,FT-934244,CL-175,PRD-FD007,07/12/2024,2024,diciembre,Simulada,2,85950,171900
F-0137,FT-934245,CL-254,PRD-FD013,07/12/2024,2024,diciembre,Simulada,3,25950,77850
F-0138,FT-934245,CL-197,PRD-FD028,07/12/2024,2024,diciembre,Simulada,2,31408,62816
F-0139,FT-934245,CL-018,PRD-FD031,06/12/2024,2024,diciembre,Simulada,4,16950,67800
F-0140,FT-934245,CL-110,PRD-FD028,05/12/2024,2024,diciembre,Simulada,4,21450,85800
F-0141,FT-934245,CL-220,PRD-FD003,03/12/2024,2024,diciembre,Simulada,2,11950,23900
F-0142,FT-934246,CL-267,PRD-FD021,03/12/2024,2024,diciembre,Simulada,1,169950,169950
F-0143,FT-934247,CL-264,PRD-FD010,02/12/2024,2024,diciembre,Simulada,1,150950,150950
F-0144,FT-934247,CL-202,PRD-FD040,02/12/2024,2024,diciembre,Simulada,2,16950,33900
F-0145,FT-934248,CL-046,PRD-FD019,02/12/2024,2024,diciembre,Simulada,4,26500,106000
F-0146,FT-934248,CL-038,PRD-FD024,02/12/2024,2024,diciembre,Simulada,4,9600,38400
F-0147,FT-934248,CL-046,PRD-FD003,02/12/2024,2024,diciembre,Simulada,4,20950,83800
F-0148,FT-934249,CL-094,PRD-FD032,02/12/2024,2024,diciembre,Simulada,2,20950,41900
F-0149,FT-934250,CL-032,PRD-FD006,02/12/2024,2024,diciembre,Simulada,2,27300,54600
F-0150,FT-934250,CL-281,PRD-FD023,02/12/2024,2024,diciembre,Simulada,1,18400,18400
F-0151,FT-934250,CL-197,PRD-FD017,02/12/2024,2024,diciembre,Simulada,1,48350,48350
F-0152,FT-934250,CL-106,PRD-FD030,02/12/2024,2024,diciembre,Simulada,3,62950,188850
F-0153,FT-934250,CL-091,PRD-FD026,02/12/2024,2024,diciembre,Simulada,2,25950,51900
F-0154,FT-934251,CL-127,PRD-FD002,02/12/2024,2024,diciembre,Simulada,3,26500,79500
F-0155,FT-934251,CL-121,PRD-FD010,02/12/2024,2024,diciembre,Simulada,3,25950,77850
F-0156,FT-934251,CL-132,PRD-FD026,02/12/2024,2024,diciembre,Simulada,1,16500,16500
F-0157,FT-934251,CL-106,PRD-FD033,02/12/2024,2024,diciembre,Simulada,4,21450,85800
F-0158,FT-934251,CL-004,PRD-FD018,01/12/2024,2024,diciembre,Simulada,4,11300,45200
F-0159,FT-934252,CL-137,PRD-FD025,01/12/2024,2024,diciembre,Simulada,3,87950,263850
F-0160,FT-934252,CL-281,PRD-FD025,01/12/2024,2024,diciembre,Simulada,2,25950,51900
F-0161,FT-934253,CL-087,PRD-FD017,01/12/2024,2024,diciembre,Simulada,2,7950,15900
F-0162,FT-934253,CL-102,PRD-FD007,01/12/2024,2024,diciembre,Simulada,1,169950,169950
F-0163,FT-934254,CL-066,PRD-FD018,01/12/2024,2024,diciembre,Simulada,2,9600,19200
F-0164,FT-934254,CL-208,PRD-FD028,01/12/2024,2024,diciembre,Simulada,2,87950,175900
F-0165,FT-934254,CL-049,PRD-FD040,01/12/2024,2024,diciembre,Simulada,1,127950,127950
F-0166,FT-934254,CL-165,PRD-FD025,01/12/2024,2024,diciembre,Simulada,4,17950,71800
F-0167,FT-934254,CL-187,PRD-FD023,01/12/2024,2024,diciembre,Simulada,4,150950,603800
F-0168,FT-934255,CL-266,PRD-FD015,01/12/2024,2024,diciembre,Simulada,4,5520,22080
F-0169,FT-934255,CL-224,PRD-FD033,30/11/2024,2024,noviembre,Simulada,2,169950,339900
F-0170,FT-934256,CL-257,PRD-FD008,30/11/2024,2024,noviembre,Simulada,1,20950,20950
F-0171,FT-934256,CL-298,PRD-FD038,30/11/2024,2024,noviembre,Simulada,3,10900,32700
F-0172,FT-934257,CL-188,PRD-FD027,30/11/2024,2024,noviembre,Simulada,4,21950,87800
F-0173,FT-934258,CL-230,PRD-FD010,30/11/2024,2024,noviembre,Simulada,2,65950,131900
F-0174,FT-934258,CL-065,PRD-FD004,30/11/2024,2024,noviembre,Simulada,2,16950,33900
F-0175,FT-934258,CL-009,PRD-FD011,30/11/2024,2024,noviembre,Simulada,4,11300,45200
F-0176,FT-934258,CL-128,PRD-FD017,30/11/2024,2024,noviembre,Simulada,1,68450,68450
F-0177,FT-934258,CL-177,PRD-FD010,30/11/2024,2024,noviembre,Simulada,3,27300,81900
F-0178,FT-934259,CL-120,PRD-FD035,30/11/2024,2024,noviembre,Simulada,3,79350,238050
F-0179,FT-934259,CL-162,PRD-FD007,30/11/2024,2024,noviembre,Simulada,2,16950,33900
F-0180,FT-934259,CL-036,PRD-FD037,30/11/2024,2024,noviembre,Simulada,3,5520,16560
F-0181,FT-934259,CL-131,PRD-FD026,29/11/2024,2024,noviembre,Simulada,2,81050,162100
F-0182,FT-934260,CL-248,PRD-FD004,29/11/2024,2024,noviembre,Simulada,3,25950,77850
F-0183,FT-934260,CL-216,PRD-FD018,29/11/2024,2024,noviembre,Simulada,3,11950,35850
F-0184,FT-934260,CL-142,PRD-FD040,29/11/2024,2024,noviembre,Simulada,1,65950,65950
F-0185,FT-934260,CL-160,PRD-FD018,29/11/2024,2024,noviembre,Simulada,3,124080,372240
F-0186,FT-934260,CL-220,PRD-FD040,29/11/2024,2024,noviembre,Simulada,1,65950,65950
F-0187,FT-934261,CL-069,PRD-FD023,29/11/2024,2024,noviembre,Simulada,1,62950,62950
F-0188,FT-934261,CL-257,PRD-FD034,29/11/2024,2024,noviembre,Simulada,1,87950,87950
F-0189,FT-934262,CL-206,PRD-FD038,29/11/2024,2024,noviembre,Simulada,2,25950,51900
F-0190,FT-934262,CL-055,PRD-FD018,29/11/2024,2024,noviembre,Simulada,2,9600,19200
F-0191,FT-934262,CL-195,PRD-FD023,29/11/2024,2024,noviembre,Simulada,2,124080,248160
F-0192,FT-934263,CL-218,PRD-FD006,29/11/2024,2024,noviembre,Simulada,3,11300,33900
F-0193,FT-934264,CL-035,PRD-FD031,29/11/2024,2024,noviembre,Simulada,2,48350,96700
F-0194,FT-934264,CL-051,PRD-FD014,29/11/2024,2024,noviembre,Simulada,3,42550,127650
F-0195,FT-934264,CL-096,PRD-FD030,29/11/2024,2024,noviembre,Simulada,3,103950,311850
F-0196,FT-934264,CL-055,PRD-FD029,29/11/2024,2024,noviembre,Simulada,2,7950,15900
F-0197,FT-934264,CL-127,PRD-FD035,29/11/2024,2024,noviembre,Simulada,2,25950,51900
F-0198,FT-934265,CL-246,PRD-FD012,29/11/2024,2024,noviembre,Simulada,1,81050,81050
F-0199,FT-934265,CL-053,PRD-FD012,29/11/2024,2024,noviembre,Simulada,4,5520,22080
F-0200,FT-934265,CL-205,PRD-FD034,29/11/2024,2024,noviembre,Simulada,4,5520,22080
F-0201,FT-934265,CL-030,PRD-FD030,29/11/2024,2024,noviembre,Simulada,1,8750,8750
F-0202,FT-934266,CL-267,PRD-FD007,28/11/2024,2024,noviembre,Simulada,3,21950,65850
F-0203,FT-934267,CL-062,PRD-FD020,28/11/2024,2024,noviembre,Simulada,2,127950,255900
F-0204,FT-934267,CL-188,PRD-FD022,28/11/2024,2024,noviembre,Simulada,4,103950,415800
F-0205,FT-934267,CL-222,PRD-FD039,28/11/2024,2024,noviembre,Simulada,3,26600,79800
F-0206,FT-934267,CL-076,PRD-FD011,28/11/2024,2024,noviembre,Simulada,3,18400,55200
F-0207,FT-934267,CL-157,PRD-FD036,28/11/2024,2024,noviembre,Simulada,3,124080,372240
F-0208,FT-934268,CL-168,PRD-FD035,28/11/2024,2024,noviembre,Simulada,1,8750,8750
F-0209,FT-934268,CL-166,PRD-FD039,28/11/2024,2024,noviembre,Simulada,3,25950,77850
F-0210,FT-934268,CL-118,PRD-FD029,28/11/2024,2024,noviembre,Simulada,2,150950,301900
F-0211,FT-934269,CL-181,PRD-FD014,28/11/2024,2024,noviembre,Simulada,3,124080,372240
F-0212,FT-934269,CL-292,PRD-FD033,28/11/2024,2024,noviembre,Simulada,4,16500,66000
F-0213,FT-934269,CL-153,PRD-FD029,28/11/2024,2024,noviembre,Simulada,1,5520,5520
F-0214,FT-934270,CL-227,PRD-FD022,28/11/2024,2024,noviembre,Simulada,4,11950,47800
F-0215,FT-934270,CL-284,PRD-FD037,28/11/2024,2024,noviembre,Simulada,2,5520,11040
F-0216,FT-934270,CL-195,PRD-FD007,28/11/2024,2024,noviembre,Simulada,3,26600,79800
F-0217,FT-934270,CL-279,PRD-FD001,28/11/2024,2024,noviembre,Simulada,4,26500,106000
F-0218,FT-934270,CL-268,PRD-FD012,27/11/2024,2024,noviembre,Realista,3,11950,35850
F-0219,FT-934271,CL-103,PRD-FD019,27/11/2024,2024,noviembre,Realista,4,42550,170200
F-0220,FT-934271,CL-001,PRD-FD006,27/11/2024,2024,noviembre,Realista,2,27300,54600
F-0221,FT-934272,CL-239,PRD-FD014,27/11/2024,2024,noviembre,Realista,4,18400,73600
F-0222,FT-934272,CL-004,PRD-FD007,27/11/2024,2024,noviembre,Realista,2,127950,255900
F-0223,FT-934273,CL-191,PRD-FD011,27/11/2024,2024,noviembre,Realista,1,68450,68450
F-0224,FT-934273,CL-064,PRD-FD039,27/11/2024,2024,noviembre,Realista,1,21950,21950
F-0225,FT-934273,CL-092,PRD-FD030,27/11/2024,2024,noviembre,Realista,4,25950,103800
F-0226,FT-934274,CL-078,PRD-FD003,27/11/2024,2024,noviembre,Realista,1,25950,25950
F-0227,FT-934274,CL-021,PRD-FD001,27/11/2024,2024,noviembre,Realista,4,85950,343800
F-0228,FT-934274,CL-054,PRD-FD014,27/11/2024,2024,noviembre,Realista,2,11950,23900
F-0229,FT-934274,CL-246,PRD-FD012,27/11/2024,2024,noviembre,Realista,1,5520,5520
F-0230,FT-934275,CL-063,PRD-FD010,27/11/2024,2024,noviembre,Realista,1,68950,68950
F-0231,FT-934275,CL-277,PRD-FD039,27/11/2024,2024,noviembre,Realista,3,39950,119850
F-0232,FT-934275,CL-280,PRD-FD029,27/11/2024,2024,noviembre,Realista,3,26500,79500
F-0233,FT-934276,CL-244,PRD-FD040,27/11/2024,2024,noviembre,Realista,4,42550,170200
F-0234,FT-934276,CL-067,PRD-FD017,27/11/2024,2024,noviembre,Realista,2,127950,255900
F-0235,FT-934276,CL-097,PRD-FD024,26/11/2024,2024,noviembre,Realista,1,11300,11300
F-0236,FT-934277,CL-038,PRD-FD007,26/11/2024,2024,noviembre,Realista,1,21950,21950
F-0237,FT-934277,CL-238,PRD-FD040,26/11/2024,2024,noviembre,Realista,4,16500,66000
F-0238,FT-934277,CL-092,PRD-FD010,26/11/2024,2024,noviembre,Realista,3,124080,372240
F-0239,FT-934277,CL-007,PRD-FD037,26/11/2024,2024,noviembre,Realista,2,79350,158700
F-0240,FT-934277,CL-065,PRD-FD019,26/11/2024,2024,noviembre,Realista,4,11950,47800
F-0241,FT-934278,CL-015,PRD-FD031,26/11/2024,2024,noviembre,Realista,4,103950,415800
F-0242,FT-934278,CL-151,PRD-FD002,26/11/2024,2024,noviembre,Realista,4,16950,67800
F-0243,FT-934278,CL-168,PRD-FD040,26/11/2024,2024,noviembre,Realista,4,27300,109200
F-0244,FT-934279,CL-168,PRD-FD036,26/11/2024,2024,noviembre,Realista,2,62950,125900
F-0245,FT-934279,CL-097,PRD-FD004,26/11/2024,2024,noviembre,Realista,3,16950,50850
F-0246,FT-934279,CL-280,PRD-FD023,26/11/2024,2024,noviembre,Realista,4,150950,603800
F-0247,FT-934279,CL-159,PRD-FD033,26/11/2024,2024,noviembre,Realista,3,65950,197850
F-0248,FT-934280,CL-089,PRD-FD024,26/11/2024,2024,noviembre,Realista,2,62950,125900
F-0249,FT-934281,CL-214,PRD-FD008,26/11/2024,2024,noviembre,Realista,2,169950,339900
F-0250,FT-934281,CL-107,PRD-FD007,26/11/2024,2024,noviembre,Realista,2,16950,33900
F-0251,FT-934281,CL-297,PRD-FD035,26/11/2024,2024,noviembre,Realista,2,81050,162100
F-0252,FT-934282,CL-286,PRD-FD035,26/11/2024,2024,noviembre,Realista,4,26500,106000
F-0253,FT-934282,CL-274,PRD-FD018,26/11/2024,2024,noviembre,Realista,3,124080,372240
F-0254,FT-934283,CL-140,PRD-FD023,26/11/2024,2024,noviembre,Realista,4,20950,83800
F-0255,FT-934284,CL-098,PRD-FD030,26/11/2024,2024,noviembre,Realista,3,21950,65850
F-0256,FT-934284,CL-268,PRD-FD008,25/11/2024,2024,noviembre,Realista,2,10900,21800
F-0257,FT-934284,CL-183,PRD-FD005,25/11/2024,2024,noviembre,Realista,2,169950,339900
F-0258,FT-934284,CL-256,PRD-FD031,24/11/2024,2024,noviembre,Realista,1,8750,8750
F-0259,FT-934285,CL-013,PRD-FD028,24/11/2024,2024,noviembre,Realista,4,11950,47800
F-0260,FT-934285,CL-089,PRD-FD036,23/11/2024,2024,noviembre,Realista,1,27300,27300
F-0261,FT-934285,CL-199,PRD-FD001,22/11/2024,2024,noviembre,Realista,1,79350,79350
F-0262,FT-934286,CL-270,PRD-FD003,22/11/2024,2024,noviembre,Realista,4,16500,66000
F-0263,FT-934286,CL-023,PRD-FD011,22/11/2024,2024,noviembre,Realista,4,25950,103800
F-0264,FT-934286,CL-147,PRD-FD003,21/11/2024,2024,noviembre,Realista,2,48350,96700
F-0265,FT-934287,CL-060,PRD-FD009,21/11/2024,2024,noviembre,Realista,1,26500,26500
F-0266,FT-934287,CL-255,PRD-FD028,21/11/2024,2024,noviembre,Realista,2,68450,136900
F-0267,FT-934288,CL-167,PRD-FD036,20/11/2024,2024,noviembre,Realista,4,18400,73600
F-0268,FT-934289,CL-131,PRD-FD031,20/11/2024,2024,noviembre,Realista,3,9600,28800
